"","x"
"1",4954.88678268193
"2",6302.41797779474
"3",10168.8155655778
"4",11033.9552528087
"5",12332.1837274528
"6",14934.0106207871
"7",14941.3278730795
"8",13612.4836133559
"9",10992.9708488401
"10",9579.87256915897
"11",8571.76364746999
"12",13936.8694019761
"13",11090.5115376585
"14",13545.6280055977
"15",18176.3170913492
"16",18668.0184912497
"17",18706.7381851736
"18",18667.662067772
"19",18831.1687724866
"20",16322.2985419116
"21",13680.7514900354
"22",11872.7230396016
"23",13359.8427391208
"24",15208.2242760733
"25",12203.6016796586
"26",14226.9540166075
"27",18815.867343073
"28",18891.0262559415
"29",17625.0780873736
"30",18290.3273114408
"31",18135.5033544338
"32",18289.2178447324
"33",18079.2776611244
"34",15556.4043912393
"35",15036.3936134092
"36",15999.9063219505
